"","gauge","avg_DOHY","sd_DOHY","W_avg","W_sd","AN_avg","AN_sd","BN_avg","BN_sd","D_avg","D_sd","C_avg","C_sd"
"1","11186000","05-27",13,"05-30",14,"06-01",11,"05-23",10,"05-12",8,"05-29",13
"2","11189500","04-08",46,"04-27",15,"05-08",NA,"01-20",103,"04-10",24,"04-12",3
"3","11192500","06-08",37,"06-09",39,"06-05",NA,NA,NA,NA,NA,NA,NA
"4","11192501","06-10",34,"06-10",37,"06-13",NA,NA,NA,NA,NA,NA,NA
"5","11202001","04-14",54,"05-01",43,"04-09",76,"05-10",4,"02-28",73,"04-10",52
"6","11214600","07-10",18,"07-31",NA,"08-09",NA,NA,NA,"06-30",5,"07-02",12
"7","11215000","06-14",NA,"06-14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","11218400","04-25",52,"05-07",51,"04-17",59,"05-12",15,"04-25",12,"03-19",93
"9","11224500","03-08",49,"02-28",23,"02-21",29,"03-10",8,"03-01",5,"03-29",89
"10","11230500","06-05",17,"06-20",14,"06-10",10,"05-26",9,"05-24",10,"05-26",15
"11","11234760","05-30",18,"06-07",15,"06-08",8,"05-23",18,"04-23",NA,"05-12",11
"12","11237500","05-14",16,"05-23",18,"05-18",15,"05-14",13,"05-02",6,"05-07",12
"13","11242000","06-06",31,"06-04",19,"06-09",9,"05-24",16,"04-26",NA,"07-13",81
"14","11246500","02-28",57,"03-31",34,"03-14",50,"04-10",36,"12-20",72,"01-20",41
"15","11251000","05-05",47,"05-05",47,NA,NA,NA,NA,NA,NA,NA,NA
"16","11261500","05-03",24,"05-03",24,NA,NA,NA,NA,NA,NA,NA,NA
"17","11264500","05-24",17,"06-05",17,"05-31",8,"05-23",11,"05-11",12,"05-14",14
"18","11266500","05-20",16,"05-30",16,"05-28",9,"05-22",12,"05-06",10,"05-12",14
"19","11270900","04-13",86,"04-15",46,"07-03",100,NA,NA,"10-21",NA,NA,NA
"20","11274000","04-07",40,"04-12",40,"03-04",NA,NA,NA,NA,NA,NA,NA
"21","11274500","02-12",28,"02-24",22,"02-06",13,"01-22",47,"02-10",34,"02-07",38
"22","11274630","02-19",34,"02-27",22,"02-10",12,"01-20",42,"02-09",35,"02-27",48
"23","11276500","06-02",14,"06-09",17,"05-28",5,"05-28",11,"05-22",10,"05-24",5
"24","11277300","05-17",58,"05-20",62,"06-10",7,"05-30",13,"06-01",6,"12-22",NA
"25","11278300","05-04",53,"05-07",57,"05-21",11,"05-26",14,"05-20",22,"03-12",86
"26","11290000","03-28",41,"03-28",37,"04-06",60,NA,NA,"02-25",NA,NA,NA
"27","11292000","06-06",15,"06-15",15,"06-13",6,"05-30",8,"05-30",7,"05-26",14
"28","11292700","05-19",46,"05-30",18,"06-02",5,"05-28",13,"05-17",30,"03-09",137
"29","11292900","05-24",37,"05-19",47,"06-04",6,"05-29",13,NA,NA,NA,NA
"30","11294000","04-15",110,"06-07",47,"06-09",62,"03-07",187,"11-11",24,"04-04",137
"31","11294500","04-14",50,"04-22",49,"04-27",19,"05-11",13,"04-19",7,"01-17",65
"32","11296500","05-25",15,"06-03",17,"06-02",9,"05-24",10,"05-15",9,"05-17",11
"33","11298000","05-18",28,"05-17",47,"05-29",12,"05-22",11,"05-13",7,"05-18",11
"34","11302000","03-10",64,"03-20",53,"02-23",12,NA,NA,"10-15",NA,"04-30",3
"35","11303000","03-07",67,"03-16",58,"02-24",11,NA,NA,"10-07",NA,"04-30",5
"36","11303500","03-31",38,"04-09",38,"02-27",9,NA,NA,NA,NA,NA,NA
"37","11314500","06-01",14,"06-03",15,"06-05",9,"05-30",9,"05-19",19,"06-08",NA
"38","11315000","04-28",46,"05-08",52,"05-21",15,"05-16",14,"04-28",12,"04-02",59
"39","11316800","03-12",38,"03-19",32,"03-15",37,"04-02",41,"03-21",32,"01-25",48
"40","11317000","03-11",39,"03-18",32,"03-16",37,"04-02",42,"03-25",27,"01-14",38
"41","11318500","03-06",33,"03-14",29,"03-14",37,"04-02",39,"03-07",8,"02-06",42
"42","11319500","04-26",53,"05-01",47,"05-30",8,"05-26",16,"04-08",36,"12-02",NA
"43","11323500","03-30",42,"04-07",45,"03-01",8,NA,NA,NA,NA,NA,NA
"44","11325500","03-15",78,"04-21",51,"01-12",82,NA,NA,NA,NA,NA,NA
"45","11335000","03-04",35,"03-09",30,"03-11",37,"04-02",40,"03-16",24,"02-05",39
"46","11370500","04-06",68,"02-22",30,"03-23",37,"05-03",64,"06-16",82,"05-20",93
"47","11372000","02-16",42,"02-12",33,"02-12",24,"03-06",27,"01-28",39,"03-16",72
"48","11374000","02-06",27,"02-04",25,"02-06",24,"02-17",20,"01-31",39,"02-10",25
"49","11376000","02-10",29,"02-09",27,"02-11",24,"02-26",20,"02-01",41,"02-13",26
"50","11376550","02-16",35,"02-25",37,"02-27",38,"02-23",23,"02-01",41,"02-07",28
"51","11377100","02-14",34,"02-14",32,"03-02",38,"02-24",23,"02-02",38,"01-28",33
"52","11379500","02-13",35,"02-13",31,"02-09",23,"02-26",29,"01-29",41,"02-27",46
"53","11381500","02-16",36,"02-23",40,"03-04",40,"02-23",15,"01-29",41,"02-07",25
"54","11383500","02-14",30,"02-21",28,"02-19",21,"02-26",19,"01-29",40,"02-06",30
"55","11389500","02-14",29,"02-15",30,"02-19",20,"02-25",22,"02-04",38,"02-11",30
"56","11390000","02-16",32,"02-20",27,"03-08",29,"02-24",15,"01-29",40,"02-07",31
"57","11390500","02-15",31,"02-16",29,"02-27",34,"02-26",22,"02-04",37,"02-07",32
"58","11395030","02-25",109,"04-25",79,"02-24",117,"04-10",153,"12-19",83,"10-13",3
"59","11395200","03-23",102,"02-19",67,"03-26",92,"05-24",98,"03-25",126,"04-06",149
"60","11396000","03-21",51,"03-08",40,"03-22",46,"05-02",7,"03-05",84,"07-01",NA
"61","11396200","03-13",41,"03-12",38,"03-21",40,"04-21",19,"02-11",51,"03-04",NA
