"","gauge","avg_DOHY","sd_DOHY","W_avg","W_sd","AN_avg","AN_sd","BN_avg","BN_sd","D_avg","D_sd","C_avg","C_sd"
"1","11186000",242,11,245,11,241,7,241,12,227,8,241,13
"2","11189500",202,33,215,11,196,46,191,50,191,11,195,8
"3","11192500",233,72,254,30,212,99,210,NA,134,184,NA,NA
"4","11192501",237,70,257,27,214,100,211,NA,133,181,NA,NA
"5","11202001",190,54,206,46,176,65,216,12,151,67,154,48
"6","11214600",250,96,306,46,220,120,334,25,189,118,250,32
"7","11215000",238,16,249,13,236,13,235,12,226,16,219,13
"8","11218400",204,56,227,35,186,66,190,76,206,10,152,84
"9","11224500",135,49,148,28,113,54,131,41,111,45,153,78
"10","11230500",251,13,262,11,253,8,251,13,242,9,242,13
"11","11234760",246,15,250,12,248,9,240,16,205,NA,224,11
"12","11237500",225,23,235,13,216,43,226,10,216,14,219,14
"13","11242000",247,22,248,13,245,14,242,16,228,29,286,81
"14","11246500",147,54,176,38,150,48,154,58,81,51,116,32
"15","11251000",220,38,216,37,211,50,238,10,226,22,251,12
"16","11261500",177,45,190,39,149,50,140,NA,NA,NA,NA,NA
"17","11264500",239,14,248,11,240,8,240,11,229,13,227,15
"18","11266500",232,22,242,11,225,40,235,12,223,14,224,14
"19","11270900",217,50,221,30,215,65,224,48,166,98,235,NA
"20","11274000",192,47,197,38,184,55,185,70,191,NA,NA,NA
"21","11274500",133,28,141,23,125,31,124,31,138,25,129,32
"22","11274630",138,32,149,22,126,21,100,29,137,31,144,44
"23","11276500",251,14,253,11,251,10,252,14,248,30,246,12
"24","11277300",234,62,239,62,256,8,242,13,198,82,228,79
"25","11278300",222,54,227,52,204,64,258,30,229,16,199,78
"26","11290000",175,57,180,52,161,58,206,66,135,18,93,NA
"27","11292000",250,12,257,11,249,8,248,12,244,5,238,11
"28","11292700",240,30,244,13,242,4,245,12,242,15,200,92
"29","11292900",238,38,237,32,241,11,247,13,223,92,250,2
"30","11294000",214,71,240,31,238,35,210,79,165,86,184,114
"31","11294500",212,33,219,29,207,39,221,11,213,15,168,52
"32","11296500",236,23,246,12,225,49,242,12,231,10,229,9
"33","11298000",233,27,237,28,221,51,241,12,231,10,229,10
"34","11302000",177,58,183,49,153,42,254,11,15,NA,212,3
"35","11303000",191,56,189,46,156,54,241,13,159,132,212,5
"36","11303500",187,47,192,37,173,57,216,62,NA,NA,NA,NA
"37","11314500",241,25,246,12,231,44,244,14,242,17,235,9
"38","11315000",214,40,227,31,215,43,225,13,210,23,184,60
"39","11316800",161,37,168,31,155,43,184,24,153,41,133,43
"40","11317000",159,37,171,32,150,41,173,22,147,44,125,35
"41","11318500",152,36,164,29,142,43,160,40,142,29,131,39
"42","11319500",213,47,216,39,206,57,231,32,215,42,175,75
"43","11323500",204,46,201,39,183,62,234,21,208,4,232,5
"44","11325500",181,68,193,40,159,74,213,83,119,124,168,116
"45","11335000",147,31,155,26,138,35,155,32,143,33,134,34
"46","11370500",169,60,140,28,163,33,176,63,247,83,232,93
"47","11372000",137,37,132,30,137,22,142,32,129,41,167,72
"48","11374000",127,26,124,25,130,23,134,19,119,36,133,25
"49","11376000",131,28,128,25,134,21,139,29,125,36,136,26
"50","11376550",137,34,142,35,150,38,138,24,123,39,130,28
"51","11377100",138,30,138,26,145,28,146,30,128,32,132,37
"52","11379500",132,31,130,27,131,21,138,26,120,37,150,46
"53","11381500",136,36,144,37,150,41,143,30,116,37,130,28
"54","11383500",137,31,142,28,143,28,144,32,124,35,129,30
"55","11389500",135,28,135,26,140,19,141,30,126,34,134,30
"56","11390000",139,31,140,27,154,27,145,30,130,38,130,33
"57","11390500",136,29,133,24,148,27,141,31,129,34,130,32
"58","11395030",157,103,200,76,150,109,183,157,104,91,112,111
"59","11395200",178,99,144,64,177,92,253,82,177,119,188,149
"60","11396000",170,43,159,47,165,36,187,34,176,46,187,51
"61","11396200",156,48,157,43,172,40,151,79,134,51,155,NA
"62","11399500",184,92,188,62,173,94,212,85,194,137,114,124
"63","11400500",179,67,163,58,196,68,199,70,185,88,NA,NA
"64","11402000",151,36,152,35,149,38,166,33,142,39,141,31
"65","11404500",157,43,162,38,160,46,163,40,143,50,148,39
"66","11407000",159,37,153,32,164,40,169,37,165,45,138,44
"67","11413000",189,48,189,50,197,50,201,36,176,50,174,61
"68","11416500",226,48,217,49,238,13,245,13,219,70,216,125
"69","11417500",171,52,188,52,172,60,173,54,141,39,164,45
"70","11418500",133,24,132,23,140,24,135,27,131,27,131,22
"71","11421000",160,40,158,37,161,44,172,44,155,47,142,12
"72","11424000",144,32,135,25,154,27,155,31,149,32,122,62
"73","11425500",141,29,140,27,149,32,147,31,133,28,97,NA
"74","11427000",161,42,160,40,149,42,173,39,162,46,155,54
"75","11427500",199,66,211,56,192,62,168,98,215,16,16,NA
"76","11427700",190,54,192,58,211,32,206,29,180,52,159,77
"77","11429500",155,83,193,74,113,91,132,89,163,58,68,64
"78","11430000",141,72,154,60,172,71,159,64,108,83,104,77
"79","11433300",156,41,159,38,162,48,153,38,148,50,149,8
"80","11436000",231,26,239,13,218,48,237,31,224,15,232,14
"81","11439500",223,31,233,17,216,48,222,24,211,41,225,27
"82","11439501",224,31,234,14,216,47,222,24,212,43,225,27
"83","11441500",196,82,200,73,207,55,223,85,190,89,120,110
"84","11441900",166,72,182,60,136,56,178,116,135,94,140,7
"85","11443500",204,43,196,54,190,53,218,17,213,18,218,34
"86","11444500",199,46,194,51,208,42,230,18,190,36,133,NA
"87","11446500",175,45,163,38,168,46,196,44,186,43,191,74
"88","11447650",140,30,141,30,149,34,136,18,130,34,NA,NA
"89","11449500",125,28,121,26,115,23,134,31,124,32,136,31
"90","11451000",164,46,149,27,170,33,197,63,166,81,NA,NA
"91","11452500",140,26,143,24,146,20,141,32,135,28,118,23
"92","11453500",123,26,120,21,119,27,132,27,123,33,119,20
"93","11454000",188,72,155,52,207,74,198,82,214,76,203,81
