"","gauge","avg_DOHY","sd_DOHY","W_avg","W_sd","AN_avg","AN_sd","BN_avg","BN_sd","D_avg","D_sd","C_avg","C_sd"
"1","11186000",239,13,242,14,244,11,235,10,224,8,241,13
"2","11189500",190,46,209,15,220,NA,112,103,192,24,194,3
"3","11192500",251,37,252,39,248,NA,NA,NA,NA,NA,NA,NA
"4","11192501",253,34,253,37,256,NA,NA,NA,NA,NA,NA,NA
"5","11202001",196,54,213,43,191,76,222,4,151,73,192,52
"6","11214600",283,18,304,NA,313,NA,NA,NA,273,5,275,12
"7","11215000",257,NA,257,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","11218400",207,52,219,51,199,59,224,15,207,12,170,93
"9","11224500",159,49,151,23,144,29,161,8,152,5,180,89
"10","11230500",248,17,263,14,253,10,238,9,236,10,238,15
"11","11234760",242,18,250,15,251,8,235,18,205,NA,224,11
"12","11237500",226,16,235,18,230,15,226,13,214,6,219,12
"13","11242000",249,31,247,19,252,9,236,16,208,NA,286,81
"14","11246500",151,57,182,34,165,50,192,36,81,72,112,41
"15","11251000",217,47,217,47,NA,NA,NA,NA,NA,NA,NA,NA
"16","11261500",215,24,215,24,NA,NA,NA,NA,NA,NA,NA,NA
"17","11264500",236,17,248,17,243,8,235,11,223,12,226,14
"18","11266500",232,16,242,16,240,9,234,12,218,10,224,14
"19","11270900",195,86,197,46,276,100,NA,NA,21,NA,NA,NA
"20","11274000",189,40,194,40,155,NA,NA,NA,NA,NA,NA,NA
"21","11274500",135,28,147,22,129,13,114,47,133,34,130,38
"22","11274630",142,34,150,22,133,12,112,42,132,35,150,48
"23","11276500",245,14,252,17,240,5,240,11,234,10,236,5
"24","11277300",229,58,232,62,253,7,242,13,244,6,83,NA
"25","11278300",216,53,219,57,233,11,238,14,232,22,163,86
"26","11290000",179,41,179,37,188,60,NA,NA,148,NA,NA,NA
"27","11292000",249,15,258,15,256,6,242,8,242,7,238,14
"28","11292700",231,46,242,18,245,5,240,13,229,30,160,137
"29","11292900",236,37,231,47,247,6,241,13,NA,NA,NA,NA
"30","11294000",197,110,250,47,252,62,158,187,42,24,186,137
"31","11294500",196,50,204,49,209,19,223,13,201,7,109,65
"32","11296500",237,15,246,17,245,9,236,10,227,9,229,11
"33","11298000",230,28,229,47,241,12,234,11,225,7,230,11
"34","11302000",161,64,171,53,146,12,NA,NA,15,NA,212,3
"35","11303000",158,67,167,58,147,11,NA,NA,7,NA,212,5
"36","11303500",182,38,191,38,150,9,NA,NA,NA,NA,NA,NA
"37","11314500",244,14,246,15,248,9,242,9,231,19,251,NA
"38","11315000",210,46,220,52,233,15,228,14,210,12,184,59
"39","11316800",163,38,170,32,166,37,184,41,172,32,117,48
"40","11317000",162,39,169,32,167,37,184,42,176,27,106,38
"41","11318500",157,33,165,29,165,37,184,39,158,8,129,42
"42","11319500",208,53,213,47,242,8,238,16,190,36,63,NA
"43","11323500",181,42,189,45,152,8,NA,NA,NA,NA,NA,NA
"44","11325500",166,78,203,51,104,82,NA,NA,NA,NA,NA,NA
"45","11335000",155,35,160,30,162,37,184,40,167,24,128,39
"46","11370500",188,68,145,30,174,37,215,64,259,82,232,93
"47","11372000",139,42,135,33,135,24,157,27,120,39,167,72
"48","11374000",129,27,127,25,129,24,140,20,123,39,133,25
"49","11376000",133,29,132,27,134,24,149,20,124,41,136,26
"50","11376550",139,35,148,37,150,38,146,23,124,41,130,28
"51","11377100",137,34,137,32,153,38,147,23,125,38,120,33
"52","11379500",136,35,136,31,132,23,149,29,121,41,150,46
"53","11381500",139,36,146,40,155,40,146,15,121,41,130,25
"54","11383500",137,30,144,28,142,21,149,19,121,40,129,30
"55","11389500",137,29,138,30,142,20,148,22,127,38,134,30
"56","11390000",139,32,143,27,159,29,147,15,121,40,130,31
"57","11390500",138,31,139,29,150,34,149,22,127,37,130,32
"58","11395030",148,109,207,79,147,117,192,153,80,83,13,3
"59","11395200",174,102,142,67,177,92,236,98,176,126,188,149
"60","11396000",172,51,159,40,173,46,214,7,156,84,274,NA
"61","11396200",164,41,163,38,172,40,203,19,134,51,155,NA
"62","11399500",184,89,184,89,NA,NA,NA,NA,NA,NA,NA,NA
"63","11400500",151,83,119,31,105,NA,NA,NA,252,130,NA,NA
"64","11402000",151,33,156,36,153,35,171,25,134,35,148,25
"65","11404500",147,42,162,41,138,50,140,29,124,38,155,NA
"66","11407000",132,30,132,29,132,39,NA,NA,NA,NA,NA,NA
"67","11413000",186,50,191,51,211,31,208,30,158,50,162,64
"68","11416500",218,61,208,57,241,4,236,29,180,103,257,144
"69","11417500",170,53,188,54,172,60,170,57,140,44,164,45
"70","11418500",135,26,137,26,141,24,138,30,129,32,131,22
"71","11421000",159,39,156,32,172,40,180,47,144,57,142,12
"72","11424000",153,31,139,27,159,28,170,28,157,41,172,18
"73","11425500",142,32,141,31,152,39,146,21,126,35,NA,NA
"74","11427000",161,41,158,37,157,39,190,37,156,45,155,54
"75","11427500",196,77,211,61,179,105,234,NA,NA,NA,16,NA
"76","11427700",191,54,199,54,211,32,217,21,174,52,159,77
"77","11429500",142,81,185,80,113,91,105,73,151,50,68,64
"78","11430000",141,74,161,61,172,71,146,77,115,84,104,77
"79","11433300",151,40,160,33,162,48,148,43,130,46,149,8
"80","11436000",230,15,238,15,233,9,231,16,215,12,234,11
"81","11439500",222,32,231,20,232,9,226,15,189,56,232,6
"82","11439501",224,32,233,17,233,8,227,15,187,61,232,6
"83","11441500",152,107,175,94,227,28,204,146,31,20,22,5
"84","11441900",174,67,190,60,136,56,205,119,156,4,140,7
"85","11443500",197,65,193,66,196,78,254,NA,NA,NA,NA,NA
"86","11444500",197,46,198,50,205,44,230,22,176,36,133,NA
"87","11446500",153,44,148,36,154,46,201,74,132,66,NA,NA
"88","11447650",141,33,142,32,153,38,138,19,122,40,NA,NA
"89","11449500",127,29,127,30,116,19,132,34,125,35,136,31
"90","11451000",169,48,153,27,174,34,231,74,166,81,NA,NA
"91","11452500",143,27,146,26,143,20,166,25,133,31,124,30
"92","11453500",125,29,130,32,112,22,134,30,117,36,134,23
"93","11454000",230,60,178,58,244,50,257,61,271,5,258,34
